employee_id,fullname,avg_performance_rating,years_of_service_months,grade_name,education_name,grade_id,position_id,iq,pauli,faxtor,disc,mbti,gtq_total,tiki,papi_n_score,papi_g_score,papi_a_score,papi_l_score,papi_p_score,papi_i_score,papi_t_score,papi_v_score,papi_o_score,papi_b_score,papi_s_score,papi_x_score,papi_c_score,papi_d_score,papi_r_score,papi_z_score,papi_e_score,papi_k_score,papi_f_score,papi_w_score,avg_score_gdr,avg_score_cex,avg_score_ids,avg_score_qdd,avg_score_sto,avg_score_sea,avg_score_vcu,avg_score_lie,avg_score_ftc,avg_score_csi,strength_rank_1_theme,strength_rank_2_theme,strength_rank_3_theme
DUP1942,Dewi Fadillah Hidayat,2.8000000000000000,79,IV,S1,2,1,null,55,54,CD,ISFP,null,8,null,4.0,6.0,6.0,5.0,1.0,9.0,1.0,3.0,null,9.0,3.0,1.0,4.0,7.0,null,3.0,3.0,5.0,8.0,2.8000000000000000,2.4000000000000000,2.8000000000000000,3.2000000000000000,3.0000000000000000,2.8000000000000000,3.0000000000000000,2.5000000000000000,3.0000000000000000,2.8000000000000000,Learner,Maximizer,Ideation
DUP2096,Putri Wibowo,3.6000000000000000,49,III,S2,1,4,null,27,62,SD,ISFJ,null,4,1.0,2.0,1.0,3.0,4.0,6.0,2.0,6.0,4.0,6.0,8.0,8.0,9.0,3.0,6.0,2.0,4.0,9.0,1.0,3.0,3.2000000000000000,3.2500000000000000,3.8000000000000000,3.4000000000000000,3.8000000000000000,3.6000000000000000,3.7500000000000000,3.4000000000000000,3.2000000000000000,3.0000000000000000,Command,Significance,Competition
DUP2722,Dewi Syahputra,2.6666666666666667,33,IV,S1,2,5,124.0,83,22,DI,ISTJ,18.0,2,8.0,9.0,2.0,3.0,null,9.0,7.0,3.0,2.0,null,1.0,3.0,6.0,4.0,6.0,3.0,1.0,1.0,4.0,6.0,3.5000000000000000,2.3333333333333333,2.8000000000000000,2.4000000000000000,2.5000000000000000,3.4000000000000000,2.5000000000000000,2.6000000000000000,3.2000000000000000,3.2000000000000000,Individualization,Self-Assurance,
DUP3015,Bayu Kurniawan,3.8000000000000000,79,III,SMA,1,1,87.0,81,55,CD,ESFP,22.0,6,5.0,8.0,5.0,7.0,8.0,9.0,null,null,1.0,4.0,3.0,5.0,3.0,4.0,7.0,3.0,9.0,1.0,2.0,3.0,4.0000000000000000,3.6000000000000000,3.6000000000000000,3.6000000000000000,3.8000000000000000,4.0000000000000000,3.8000000000000000,3.7500000000000000,3.2000000000000000,4.0000000000000000,Responsibility,Context,Includer
DUP3452,Fitri Anugrah Subekti,3.2000000000000000,50,V,D3,3,3,90.0,60,65,ID,ESFJ,38.0,7,null,null,7.0,4.0,4.0,2.0,null,9.0,null,9.0,9.0,6.0,1.0,9.0,2.0,4.0,7.0,1.0,3.0,1.0,2.8000000000000000,3.2000000000000000,3.2000000000000000,3.0000000000000000,3.2000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,2.5000000000000000,Developer,Arranger,Self-Assurance
DUP4177,Adi Ginting,3.2000000000000000,75,V,S1,3,6,null,41,22,DS,ENTJ,null,8,8.0,4.0,9.0,9.0,3.0,4.0,6.0,3.0,3.0,7.0,7.0,3.0,2.0,6.0,null,2.0,1.0,3.0,null,1.0,3.6000000000000000,3.2500000000000000,3.2000000000000000,2.5000000000000000,3.2500000000000000,3.0000000000000000,3.5000000000000000,3.0000000000000000,3.4000000000000000,3.6000000000000000,Arranger,Significance,Harmony
DUP5237,Fajar Fauziah,2.5000000000000000,8,IV,D3,2,4,121.0,99,61,DS,ESFP,30.0,10,3.0,2.0,9.0,8.0,2.0,null,6.0,4.0,2.0,3.0,4.0,7.0,3.0,2.0,5.0,9.0,3.0,8.0,2.0,9.0,2.6666666666666667,2.7500000000000000,4.0000000000000000,2.0000000000000000,2.2500000000000000,2.6666666666666667,2.5000000000000000,2.7500000000000000,2.3333333333333333,2.3333333333333333,Harmony,Discipline,Connectedness
DUP9015,Umar Maulana,3.4000000000000000,50,IV,S2,2,5,134.0,26,42,SC,ENTP,41.0,8,4.0,4.0,6.0,null,6.0,9.0,5.0,1.0,4.0,8.0,1.0,8.0,6.0,1.0,4.0,5.0,4.0,7.0,8.0,8.0,3.6000000000000000,3.6000000000000000,3.4000000000000000,3.7500000000000000,3.2500000000000000,3.8000000000000000,3.4000000000000000,3.8000000000000000,4.0000000000000000,3.4000000000000000,Belief,Relator,
DUP9129,Nabila Dharma Salsabila,2.7500000000000000,50,V,SMA,3,6,93.0,28,51,IC,ESFP,36.0,2,2.0,1.0,9.0,3.0,3.0,5.0,2.0,9.0,4.0,null,5.0,6.0,4.0,9.0,6.0,3.0,5.0,9.0,1.0,6.0,3.2000000000000000,2.8000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,Belief,Empathy,Focus
DUP9801,Ayu Kusuma Santoso,4.0000000000000000,7,III,S1,1,3,131.0,37,64,SC,ISTJ,28.0,7,2.0,9.0,1.0,null,5.0,6.0,9.0,9.0,7.0,1.0,3.0,9.0,4.0,7.0,6.0,1.0,8.0,5.0,2.0,null,3.5000000000000000,3.2500000000000000,3.5000000000000000,3.2500000000000000,3.6666666666666667,3.6666666666666667,3.5000000000000000,3.2500000000000000,3.2500000000000000,3.2500000000000000,,Responsibility,Communication
